STT,Phân loại,Loại Hàng,Độ mạ,Độ dày,Độ Mác thép,Mã màu,Khối lượng,Met A,Met B,Met C,Tỷ trọng thực tế,Tên màu,Khổ (mm),Ngày bán,Thành Tiền,Khu Vực (Quận/Huyện),Tỉnh / Thành Phố_x,Năm,Tháng,Ngày,Thứ,Cuối tuần,Tuần trong tháng,Quý,Mùa,Doanh thu trên mỗi kg sản phẩm,Doanh thu trên mỗi mm khổ,Mức_độ_dày,Phân loại độ dày vật lý,Dòng sản phẩm,Nhóm độ dày SKU,Cấp chất lượng vật liệu,Mã màu chuẩn hóa,Khổ sản phẩm (mm),Mã_sản_phẩm,Doanh thu trung bình mỗi lần bán,Số ngày giữa 2 đơn liên tiếp,Tổng số giao dịch của sản phẩm,Tổng doanh thu sản phẩm,Doanh thu trung bình mỗi lần bán,Số ngày giữa 2 đơn liên tiếp,Tổng doanh thu sản phẩm,Mã khách hàng,Loại khách,Tỉnh / Thành Phố_y,Tên_khách_hàng,Phân khúc sản phẩm,Mức rủi ro giao dịch,Độ phức tạp bảo hành,Mức độ khiếu nại,Cờ giao hàng trễ,Cờ khiếu nại lặp lại,Cờ giao dịch bất thường,% đóng góp doanh thu,Tỷ lệ chi phí ước tính,Biên lợi nhuận ước tính,Điểm hài lòng KH (proxy)
878,1,GL,AZ080,0.4,G550,,4890,1558,0,2,3.134615385,0,1200,1/10/2026,97064055,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,19849.5,80886.7125,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,10,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0009,Wholesale,Long An,Công ty TNHH VLXD Nam Việt - Long An,Standard,Low,Medium,Medium,0,0,0,0.114349864,0.6312473085,0.3687526915,85
879,1,GL,AZ080,0.4,G550,,4920,1566,0,2,3.137755102,0,1200,1/10/2026,97659540,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,19849.5,81382.95,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0050,Retail,TP. Hồ Chí Minh,Đại lý VLXD Hoàng Gia - TP. Hồ Chí Minh,Economy,Low,Low,Low,1,0,0,0.115051397,0.8487299164,0.1512700836,75
880,1,GL,AZ080,0.4,G550,,4220,1346,0,2,3.130563798,0,1200,1/10/2026,83764890,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,19849.5,69804.075,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0027,Retail,Vĩnh Long,Đại lý VLXD Hoàng Gia - Vĩnh Long,Economy,Low,Low,Medium,1,0,0,0.09868229576,0.8487299164,0.1512700836,75
881,1,GL,AZ080,0.4,G550,,4240,1350,0,2,3.136094675,0,1200,1/10/2026,84161880,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,19849.5,70134.9,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0066,Retail,Bình Định,Đại lý VLXD Hoàng Gia - Bình Định,Economy,Low,Low,Low,0,0,0,0.09914998437,0.8487299164,0.1512700836,85
882,1,GL,AZ080,0.4,G550,,4150,1318,0,2,3.143939394,0,1200,1/10/2026,82375425,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,19849.5,68646.1875,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0005,Retail,Bình Dương,Đại lý VLXD Hưng Thịnh - Bình Dương,Economy,Medium,Low,Low,1,0,0,0.09704538564,0.8487299164,0.1512700836,75
883,1,GL,AZ080,0.45,G550,,3370,910,0,2,3.695175439,0,1200,1/10/2026,65028194,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,19296.2,54190.16167,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0029,Retail,Bình Dương,Đại lý VLXD An Phát - Bình Dương,Economy,Low,Low,Low,1,0,0,0.07660884499,0.8487299164,0.1512700836,75
884,1,GL,AZ080,0.45,G550,,3330,898,0,2,3.7,0,1200,1/10/2026,64256346,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,19296.2,53546.955,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0037,Retail,Bình Dương,Đại lý VLXD Hưng Thịnh - Bình Dương,Economy,Medium,Low,Low,0,0,0,0.07569954119,0.8487299164,0.1512700836,85
885,1,GL,AZ080,0.45,G550,,3370,910,0,2,3.695175439,0,1200,1/10/2026,65028194,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,19296.2,54190.16167,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0038,Retail,Bình Thuận,Đại lý VLXD Hoàng Gia - Bình Thuận,Economy,Low,Low,Low,0,0,0,0.07660884499,0.8487299164,0.1512700836,85
886,1,GL,AZ080,0.45,G550,,4180,1134,0,2,3.679577465,0,1200,1/10/2026,80667312,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,19298.4,67222.76,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0083,Retail,Vĩnh Long,Đại lý VLXD Hưng Thịnh - Vĩnh Long,Economy,Low,Low,Low,0,0,0,0.09503308058,0.8487299164,0.1512700836,85
887,1,GL,AZ080,0.45,G550,,3680,994,0,2,3.694779116,0,1200,1/10/2026,71014064,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,19297.3,59178.38667,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0008,Partner,Phú Yên,Xưởng VLXD Hoàng Gia - Phú Yên,Standard,Medium,Medium,Low,0,0,0,0.08366071832,0.6312473085,0.3687526915,85
888,1,GL,AZ080,0.45,G550,,4080,1102,0,2,3.695652174,0,1200,1/10/2026,78737472,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,19298.4,65614.56,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0112,Retail,Đồng Nai,Đại lý VLXD Bình Minh - Đồng Nai,Standard,Medium,Medium,Low,0,0,0,0.09275956191,0.6312473085,0.3687526915,85
889,1,GL,AZ080,0.5,G550,,4890,1178,0,2,4.144067797,0,1200,1/10/2026,91679676,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,18748.4,76399.73,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0109,Retail,Long An,Đại lý VLXD Tân Thành - Long An,Economy,Low,Low,Low,0,0,0,0.1080065992,0.8487299164,0.1512700836,85
890,1,GL,AZ080,0.5,G550,,4900,1178,0,2,4.152542373,0,1200,1/10/2026,91867160,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,18748.4,76555.96667,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0065,Retail,TP. Hồ Chí Minh,Đại lý VLXD Đại Phát - TP. Hồ Chí Minh,Economy,Low,Low,Low,1,0,0,0.1082274716,0.8487299164,0.1512700836,75
891,1,GL,AZ080,0.5,G550,,4830,1158,0,2,4.163793103,0,1200,1/10/2026,90554772,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,18748.4,75462.31,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0086,Retail,Bình Thuận,Đại lý VLXD Phú Cường - Bình Thuận,Economy,Medium,Low,Low,0,0,0,0.1066813649,0.8487299164,0.1512700836,85
892,1,GL,AZ080,0.5,G550,,4890,1174,0,2,4.158163265,0,1200,1/10/2026,91679676,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,18748.4,76399.73,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0116,Partner,Bình Định,Xưởng VLXD Minh Phát - Bình Định,Premium,Medium,High,Medium,0,0,0,0.1080065992,0.5533159006,0.4466840994,90
893,1,GL,AZ080,0.5,G550,,4970,1194,0,2,4.155518395,0,1200,1/10/2026,93179548,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,18748.4,77649.62333,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0017,Retail,Long An,Đại lý VLXD Nam Việt - Long An,Economy,Medium,Low,Medium,0,0,0,0.1097735783,0.8487299164,0.1512700836,85
894,1,GL,AZ080,0.5,G550,,4160,998,0,2,4.16,0,1200,1/10/2026,77988768,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,18747.3,64990.64,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0071,Wholesale,Phú Yên,Công ty TNHH VLXD Phúc Lộc - Phú Yên,Premium,High,High,High,1,0,0,0.09187752375,0.5533159006,0.4466840994,65
895,1,GL,AZ080,0.5,G550,,4910,1182,0,2,4.146959459,0,1200,1/10/2026,92054644,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,10,Saturday,TRUE,2,2026Q1,Mùa khô,18748.4,76712.20333,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1498761616,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0089,Partner,Bình Thuận,Xưởng VLXD Việt Thành - Bình Thuận,Standard,Medium,Medium,Medium,1,0,0,0.108448344,0.6312473085,0.3687526915,75
913,1A,GL,AZ100,0.4,G550,,4710,1406,0,2,3.063909774,,1200,1/16/2026,96081645,TP. Dĩ An,Bình Dương,2026,1,16,Friday,FALSE,3,2026Q1,Mùa khô,20399.5,80068.0375,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,723360721,6,199,15628940014,78537387.01,33.16666667,10689658678,CUST_0045,Retail,Tỉnh Khánh Hòa,Đại lý VLXD An Phát - Tỉnh Khánh Hòa,Economy,Low,Low,Low,0,0,0,0.1131925,0.8487299164,0.1512700836,85
918,1A,GL,AZ100,0.4,G550,,2675,798,0,2,3.34375,,1200,1/19/2026,55598538,Quận Bình Tân,TP. Hồ Chí Minh,2026,1,19,Monday,FALSE,3,2026Q1,Mùa khô,20784.50019,46332.115,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,723360721,3,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0004,Retail,Tỉnh Khánh Hòa,Đại lý VLXD Tân Thành - Tỉnh Khánh Hòa,Economy,Low,Low,Low,0,0,0,0.06549989346,0.8487299164,0.1512700836,85
920,1,GL,AZ080,0.4,G550,,3840,1222,0,2,3.137254902,,1200,1/20/2026,79174656,TP. Tân Uyên,Bình Dương,2026,1,20,Tuesday,FALSE,3,2026Q1,Mùa khô,20618.4,65978.88,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,723360721,1,199,15628940014,78537387.01,33.16666667,10689658678,CUST_0036,Wholesale,Bà Rịa - Vũng Tàu,Công ty TNHH VLXD Hưng Thịnh - Bà Rịa - Vũng Tàu,Standard,Low,Medium,Low,0,0,0,0.09327460253,0.6312473085,0.3687526915,85
929,1,GL,AZ080,0.4,G550,,3900,1242,0,2,3.135048232,,1200,1/20/2026,79575210,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,20,Tuesday,FALSE,3,2026Q1,Mùa khô,20403.9,66312.675,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,723360721,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0070,Partner,Long An,Xưởng VLXD Đại Phát - Long An,Premium,Medium,High,Medium,0,0,0,0.09374648983,0.5533159006,0.4466840994,90
930,1,GL,AZ080,0.4,G550,,3900,1242,0,2,3.135048232,,1200,1/20/2026,79575210,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,20,Tuesday,FALSE,3,2026Q1,Mùa khô,20403.9,66312.675,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,723360721,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0031,Wholesale,Vĩnh Long,Công ty TNHH VLXD Phú Cường - Vĩnh Long,Premium,Medium,High,Medium,0,0,0,0.09374648983,0.5533159006,0.4466840994,90
931,1,GL,AZ080,0.45,G550,,4200,1138,0,2,3.684210526,,1200,1/20/2026,83386380,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,20,Tuesday,FALSE,3,2026Q1,Mùa khô,19853.9,69488.65,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,723360721,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0019,Retail,Bình Dương,Đại lý VLXD An Phát - Bình Dương,Standard,Medium,Medium,Medium,0,0,0,0.0982363782,0.6312473085,0.3687526915,85
932,1,GL,AZ080,0.5,G550,,3280,782,0,2,4.183673469,,1200,1/20/2026,63305968,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,20,Tuesday,FALSE,3,2026Q1,Mùa khô,19300.6,52754.97333,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,723360721,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0061,Retail,Bình Định,Đại lý VLXD Nam Việt - Bình Định,Economy,Medium,Low,Low,0,0,0,0.07457991359,0.8487299164,0.1512700836,85
933,1,GL,AZ080,0.5,G550,,3310,790,0,2,4.179292929,,1200,1/20/2026,63884986,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,20,Tuesday,FALSE,3,2026Q1,Mùa khô,19300.6,53237.48833,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,723360721,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0108,Wholesale,Tỉnh Khánh Hòa,Công ty TNHH VLXD Tân Thành - Tỉnh Khánh Hòa,Standard,Medium,Medium,Medium,0,0,0,0.07526204694,0.6312473085,0.3687526915,85
934,1,GL,AZ080,0.5,G550,,3380,806,0,2,4.183168317,,1200,1/20/2026,65236028,Quận Tân Phú,TP. Hồ Chí Minh,2026,1,20,Tuesday,FALSE,3,2026Q1,Mùa khô,19300.6,54363.35667,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,723360721,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0054,Partner,Tỉnh Khánh Hòa,Xưởng VLXD An Phát - Tỉnh Khánh Hòa,Premium,High,High,High,0,0,0,0.07685369144,0.5533159006,0.4466840994,75
935,1A,GL,AZ100,0.4,G550,,2650,786,0,2,3.362944162,,1200,1/20/2026,57542100,Quận Bình Tân,TP. Hồ Chí Minh,2026,1,20,Tuesday,FALSE,3,2026Q1,Mùa khô,21714,47951.75,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,723360721,0,199,15628940014,78537387.01,33.16666667,42799130622,CUST_0039,Wholesale,Bình Dương,Công ty TNHH VLXD Hưng Thịnh - Bình Dương,Standard,Medium,Medium,Medium,0,0,0,0.06778957784,0.6312473085,0.3687526915,85
943,2,GL,AZ100,0.5,G550,,3930,744,210,2,4.110878661,,1200,1/26/2026,75726750,TP. Dĩ An,Bình Dương,2026,1,26,Monday,FALSE,4,2026Q1,Mùa khô,19268.89313,63105.625,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,167439338,6,199,15628940014,78537387.01,33.16666667,10689658678,CUST_0091,Retail,Phú Yên,Đại lý VLXD Thịnh Vượng - Phú Yên,Economy,Low,Low,Medium,0,0,0,0.08921267062,0.8487299164,0.1512700836,85
955,1A,GL,AZ100,0.45,G550,,4570,1210,0,2,3.770627063,,1200,1/28/2026,91712588,TP. Dĩ An,Bình Dương,2026,1,28,Wednesday,FALSE,4,2026Q1,Mùa khô,20068.4,76427.15667,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,167439338,2,199,15628940014,78537387.01,33.16666667,10689658678,CUST_0074,Wholesale,Vĩnh Long,Công ty TNHH VLXD Minh Phát - Vĩnh Long,Standard,Low,Medium,Low,0,0,0,0.1080453724,0.6312473085,0.3687526915,85
968,1,GL,AZ080,0.4,G550,,2200,698,0,2,3.142857143,,1200,1/31/2026,44777260,,Tỉnh Khánh Hòa,2026,1,31,Saturday,TRUE,5,2026Q1,Mùa khô,20353.3,37314.38333,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1481680343,3,199,15628940014,78537387.01,33.16666667,4119564554,CUST_0090,Retail,Bình Dương,Đại lý VLXD An Phát - Bình Dương,Economy,Medium,Low,Low,0,0,0,0.05275149069,0.8487299164,0.1512700836,85
969,1,GL,AZ080,0.4,G550,,4720,1498,0,2,3.146666667,,1200,1/31/2026,96098728,,Tỉnh Khánh Hòa,2026,1,31,Saturday,TRUE,5,2026Q1,Mùa khô,20359.9,80082.27333,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1481680343,0,199,15628940014,78537387.01,33.16666667,4119564554,CUST_0019,Retail,Bình Dương,Đại lý VLXD An Phát - Bình Dương,Standard,Low,Medium,Low,0,0,0,0.1132126252,0.6312473085,0.3687526915,85
970,1,GL,AZ080,0.4,G550,,4560,1442,0,2,3.157894737,,1200,1/31/2026,92841144,,Tỉnh Khánh Hòa,2026,1,31,Saturday,TRUE,5,2026Q1,Mùa khô,20359.9,77367.62,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1481680343,0,199,15628940014,78537387.01,33.16666667,4119564554,CUST_0039,Wholesale,Bình Dương,Công ty TNHH VLXD Hưng Thịnh - Bình Dương,Premium,High,High,Medium,0,0,0,0.1093749091,0.5533159006,0.4466840994,90
971,1,GL,AZ080,0.4,G550,,3080,970,0,2,3.16872428,,1200,1/31/2026,62698328,,Tỉnh Khánh Hòa,2026,1,31,Saturday,TRUE,5,2026Q1,Mùa khô,20356.6,52248.60667,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1481680343,0,199,15628940014,78537387.01,33.16666667,4119564554,CUST_0067,Retail,Bình Định,Đại lý VLXD Bình Minh - Bình Định,Economy,Low,Low,Low,0,0,0,0.07386406104,0.8487299164,0.1512700836,85
972,1,GL,AZ080,0.4,G550,,2210,694,0,2,3.175287356,,1200,1/31/2026,44980793,,Tỉnh Khánh Hòa,2026,1,31,Saturday,TRUE,5,2026Q1,Mùa khô,20353.3,37483.99417,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1481680343,0,199,15628940014,78537387.01,33.16666667,4119564554,CUST_0045,Retail,Tỉnh Khánh Hòa,Đại lý VLXD An Phát - Tỉnh Khánh Hòa,Economy,Low,Low,Medium,0,0,0,0.05299127019,0.8487299164,0.1512700836,85
973,1,GL,AZ080,0.45,G550,,4100,1122,0,2,3.647686833,,1200,1/31/2026,81216080,,Tỉnh Khánh Hòa,2026,1,31,Saturday,TRUE,5,2026Q1,Mùa khô,19808.8,67680.06667,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1481680343,0,199,15628940014,78537387.01,33.16666667,4119564554,CUST_0013,Wholesale,Tỉnh Khánh Hòa,Công ty TNHH VLXD Minh Phát - Tỉnh Khánh Hòa,Standard,Medium,Medium,Low,0,0,0,0.09567957682,0.6312473085,0.3687526915,85
974,1,GL,AZ080,0.45,G550,,4500,1230,0,2,3.652597403,,1200,1/31/2026,89139600,,Tỉnh Khánh Hòa,2026,1,31,Saturday,TRUE,5,2026Q1,Mùa khô,19808.8,74283,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1481680343,0,199,15628940014,78537387.01,33.16666667,4119564554,CUST_0114,Wholesale,Vĩnh Long,Công ty TNHH VLXD Phúc Lộc - Vĩnh Long,Standard,Medium,Medium,Low,0,0,0,0.1050141697,0.6312473085,0.3687526915,85
975,1,GL,AZ080,0.45,G550,,4180,1142,0,2,3.653846154,,1200,1/31/2026,82800784,,Tỉnh Khánh Hòa,2026,1,31,Saturday,TRUE,5,2026Q1,Mùa khô,19808.8,69000.65333,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1481680343,0,199,15628940014,78537387.01,33.16666667,4119564554,CUST_0092,Wholesale,Long An,Công ty TNHH VLXD An Phát - Long An,Standard,High,Medium,Medium,0,0,1,0.09754649539,0.6312473085,0.3687526915,85
976,1,GL,AZ080,0.45,G550,,4330,1182,0,2,3.657094595,,1200,1/31/2026,85772104,,Tỉnh Khánh Hòa,2026,1,31,Saturday,TRUE,5,2026Q1,Mùa khô,19808.8,71476.75333,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1481680343,0,199,15628940014,78537387.01,33.16666667,4119564554,CUST_0058,Retail,Bình Thuận,Đại lý VLXD Hưng Thịnh - Bình Thuận,Economy,Medium,Low,Low,1,0,0,0.1010469677,0.8487299164,0.1512700836,75
977,1,GL,AZ080,0.45,G550,,4550,1242,0,2,3.65755627,,1200,1/31/2026,90130040,,Tỉnh Khánh Hòa,2026,1,31,Saturday,TRUE,5,2026Q1,Mùa khô,19808.8,75108.36667,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1481680343,0,199,15628940014,78537387.01,33.16666667,4119564554,CUST_0020,Retail,Đồng Nai,Đại lý VLXD Tân Thành - Đồng Nai,Standard,Medium,Medium,Low,0,0,0,0.1061809938,0.6312473085,0.3687526915,85
978,1,GL,AZ080,0.45,G550,,4590,1250,0,2,3.666134185,,1200,1/31/2026,90922392,,Tỉnh Khánh Hòa,2026,1,31,Saturday,TRUE,5,2026Q1,Mùa khô,19808.8,75768.66,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1481680343,0,199,15628940014,78537387.01,33.16666667,4119564554,CUST_0092,Wholesale,Long An,Công ty TNHH VLXD An Phát - Long An,Premium,Medium,High,High,0,0,0,0.1071144531,0.5533159006,0.4466840994,75
979,1,GL,AZ080,0.5,G550,,3720,886,0,2,4.189189189,,1200,1/31/2026,71634552,,Tỉnh Khánh Hòa,2026,1,31,Saturday,TRUE,5,2026Q1,Mùa khô,19256.6,59695.46,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1481680343,0,199,15628940014,78537387.01,33.16666667,4119564554,CUST_0072,Retail,Bình Định,Đại lý VLXD An Phát - Bình Định,Economy,Low,Low,Low,1,0,0,0.08439170692,0.8487299164,0.1512700836,75
980,1,GL,AZ080,0.5,G550,,3270,778,0,2,4.192307692,,1200,1/31/2026,62965485,,Tỉnh Khánh Hòa,2026,1,31,Saturday,TRUE,5,2026Q1,Mùa khô,19255.5,52471.2375,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1481680343,0,199,15628940014,78537387.01,33.16666667,4119564554,CUST_0061,Retail,Bình Định,Đại lý VLXD Nam Việt - Bình Định,Standard,High,Medium,Medium,0,0,0,0.07417879512,0.6312473085,0.3687526915,85
981,1,GL,AZ080,0.5,G550,,3640,866,0,2,4.193548387,,1200,1/31/2026,70094024,,Tỉnh Khánh Hòa,2026,1,31,Saturday,TRUE,5,2026Q1,Mùa khô,19256.6,58411.68667,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1481680343,0,199,15628940014,78537387.01,33.16666667,4119564554,CUST_0105,Partner,Bà Rịa - Vũng Tàu,Xưởng VLXD Việt Thành - Bà Rịa - Vũng Tàu,Premium,Medium,High,Medium,0,0,0,0.08257683151,0.5533159006,0.4466840994,90
982,1,GL,AZ080,0.5,G550,,3530,838,0,2,4.202380952,,1200,1/31/2026,67975798,,Tỉnh Khánh Hòa,2026,1,31,Saturday,TRUE,5,2026Q1,Mùa khô,19256.6,56646.49833,Trung bình,Cao,TONKEM,TRUNGBINH,CAO,NAN,1200,TONKEM_TRUNGBINH_CAO_NAN_1200,1481680343,0,199,15628940014,78537387.01,33.16666667,4119564554,CUST_0039,Wholesale,Bình Dương,Công ty TNHH VLXD Hưng Thịnh - Bình Dương,Standard,Medium,Medium,Low,0,0,0,0.08008137781,0.6312473085,0.3687526915,85
